geoid,name,total,no_schooling_completed,high_school_graduate,bachelor,master,doctorate
86000US90001,90001,31576,6.888142893,23.22016722,3.89853053,0.427539904,0.025335698
86000US90002,90002,26559,5.154561542,27.51233104,3.388681803,0.609962725,0.060243232
86000US90003,90003,37149,5.919405637,25.72612991,4.953026999,0.627203962,0.040377937
86000US90004,90004,44885,4.544948201,17.84783335,24.26868664,6.068842598,0.90898964
86000US90005,90005,27532,3.915443847,22.23231149,22.08702601,3.243498475,0.581141944
86000US90006,90006,40654,6.169134648,24.94465489,12.51537364,2.201505387,0.253357603
86000US90007,90007,20422,6.037606503,20.9137205,16.20311429,5.523455097,0.651258447
86000US90008,90008,23107,1.203098628,21.62548146,15.54074523,9.321850521,0.822261652
86000US90010,90010,3049,1.213512627,18.26828468,34.4375205,7.80583798,1.049524434
86000US90011,90011,57082,7.83259171,21.24487579,2.706632564,0.607897411,0.008759329
86000US90012,90012,24002,6.736938588,19.10257479,18.61094909,5.570369136,0.604116324
86000US90013,90013,10210,1.263467189,16.97355534,24.82859941,8.18805093,1.704211557
86000US90014,90014,6542,2.50687863,13.29868542,27.30051972,7.734637725,1.467441149
86000US90015,90015,12285,4.314204314,15.23809524,19.43019943,5.046805047,1.294261294
86000US90016,90016,31526,3.730254393,23.23161835,12.55788873,5.07200406,0.434561949
86000US90017,90017,15869,7.675341861,16.93868549,16.60470099,4.310290503,1.241414078
86000US90018,90018,32034,4.601361054,25.36991946,10.31404133,3.293375788,0.43703565
86000US90019,90019,47811,2.882181925,20.12925896,21.60172345,6.70138671,1.317688398
86000US90020,90020,28378,2.234125026,21.52723941,28.86743252,5.634646557,1.007822961
86000US90021,90021,2490,6.064257028,20.64257028,15.74297189,2.409638554,0
86000US90023,90023,26749,6.83763879,21.20079255,4.519795133,1.125275711,0.097199895
86000US90024,90024,22905,0.222658808,7.618423925,34.90504257,18.83431565,6.535690897
86000US90025,90025,36570,0.847689363,7.998359311,37.8042111,17.08504238,3.73530216
86000US90026,90026,49407,3.55617625,16.48956626,25.60568341,7.492865383,1.092962536
86000US90027,90027,38189,2.59236953,15.37877399,32.67694886,11.85943596,1.660163922
86000US90028,90028,22949,1.97394222,16.35365375,31.79223496,6.858686653,0.588260926
86000US90029,90029,28606,5.526812557,19.34559183,21.33468503,4.13200028,0.433475495
86000US90031,90031,25978,8.738163061,19.84371391,10.58972977,3.056432366,0.608206944
86000US90032,90032,30113,4.788629496,24.61395411,10.59011058,3.128217049,0.435028061
86000US90033,90033,27706,6.54731827,20.82942323,6.283837436,1.552010395,0.155201039
86000US90034,90034,43444,1.620476936,12.63465611,31.34379891,13.38734923,2.695423994
86000US90035,90035,22861,1.719084904,11.84987533,37.31682779,12.91719522,2.703293819
86000US90036,90036,28760,0.486787204,9.979137691,42.7364395,13.4596662,2.002781641
86000US90037,90037,36367,6.346412957,24.51398246,4.795556411,1.259383507,0.1264883
86000US90038,90038,19700,4.21319797,17.93908629,22.30964467,5.908629442,0.263959391
86000US90039,90039,21866,2.972651605,14.28702095,30.20671362,11.08570383,1.243940364
86000US90041,90041,20221,1.62207606,15.01903961,28.9055932,9.04010682,1.46877009
86000US90042,90042,42400,3.860849057,20.78773585,17.38443396,6.08254717,0.70754717
86000US90043,90043,30065,2.611009479,19.56760353,12.03725262,7.031431898,0.888075836
86000US90044,90044,52199,4.502001954,29.79367421,6.061418801,1.394662733,0.180080078
86000US90045,90045,27439,0.88195634,12.3583221,32.85105142,14.79281315,3.389336346
86000US90046,90046,44046,1.373564001,10.31421696,43.02547337,11.12700359,1.745902012
86000US90047,90047,31473,2.4370095,26.4957265,10.61862549,3.472817971,0.206526229
86000US90048,90048,18420,0.445168295,9.169381107,38.25732899,14.94571118,3.479913138
86000US90049,90049,27026,0.506919263,4.473469992,40.24642936,17.87167912,6.142233405
86000US90056,90056,6266,0.239387169,10.58091286,28.47111395,14.66645388,3.718480689
86000US90057,90057,31472,7.546390442,20.85345704,14.27300458,2.843797661,0.346339603
86000US90058,90058,1396,13.03724928,11.24641834,5.945558739,1.790830946,0
86000US90059,90059,23133,5.070678252,25.15886396,4.236372282,1.569186876,0.332857822
86000US90061,90061,15611,5.45769009,28.96034847,6.392928064,1.370828262,0.160143489
86000US90062,90062,21118,5.587650346,27.69675159,6.160621271,1.373236102,0.250970736
86000US90063,90063,31685,5.36215875,20.68486666,5.122297617,0.886854979,0.176739782
86000US90064,90064,19103,0.204156415,10.19211642,34.60712977,16.50526095,3.905145789
86000US90065,90065,32522,3.649837033,18.92872517,19.30693069,7.09980936,0.842506611
86000US90066,90066,43959,1.310311882,12.80056416,31.85468277,11.66996519,2.88223117
86000US90067,90067,2019,0.842000991,16.34472511,39.1778108,8.469539376,1.981178801
86000US90068,90068,17729,0.592249986,7.778216481,42.89017993,14.61447346,1.923402335
86000US90069,90069,18213,0.576511283,9.696370724,42.6124197,11.3160929,3.502992368
86000US90073,90073,831,3.730445247,29.72322503,3.48977136,2.527075812,0
86000US90077,90077,6290,1.033386328,5.961844197,31.84419714,18.09220986,10.46104928
86000US90089,90089,53,0,0,26.41509434,32.0754717,0
86000US90094,90094,4818,0,1.784973018,39.31091739,26.71232877,4.234122042
86000US90210,90210,16592,2.109450338,15.16393443,30.6472999,12.14440694,5.448408872
86000US90211,90211,5647,0.442712945,11.29803435,32.58367275,14.50327608,3.063573579
86000US90212,90212,8932,0.25750112,7.803403493,34.82982535,16.83833408,5.418719212
86000US90230,90230,23072,2.292822469,10.72295423,28.95284327,15.39095007,2.275485437
86000US90232,90232,11583,1.200034533,14.34861435,28.05836139,14.78028145,2.408702409
86000US90245,90245,11822,0.913551007,13.02656065,32.05041448,12.9504314,2.250042294
86000US90247,90247,32732,3.525601858,28.69363314,17.24000978,3.644751314,0.647684223
86000US90248,90248,7229,3.790289113,24.31871628,19.90593443,4.869276525,0.055332688
86000US90250,90250,60661,4.103130512,24.49019963,14.15077232,3.992680635,0.64126869
86000US90262,90262,40177,4.79378749,26.37329816,4.45030739,1.167334545,0.112004381
86000US90265,90265,13342,0.187378204,11.73737071,32.52885624,13.70109429,4.444611003
86000US90272,90272,16684,0.317669624,4.075761208,39.81659075,18.5267322,4.938863582
86000US90275,90275,31156,0.49107716,10.08152523,33.87790474,18.55822314,4.512774425
86000US90290,90290,4496,0,11.98843416,32.71797153,15.81405694,5.048932384
86000US90291,90291,21604,1.541381226,9.771338641,40.83040178,12.72449546,3.068876134
86000US90292,90292,18175,0.599724897,7.675378267,38.98211829,17.303989,4.445667125
86000US90293,90293,10592,0.604229607,9.601586103,40.02077039,13.03814199,2.775679758
86000US90301,90301,23308,2.810193925,22.33567874,9.666209027,2.166638064,0.261712717
86000US90302,90302,19870,2.46602919,18.63613488,15.30951183,5.52591847,0.895822849
86000US90303,90303,15574,3.306793374,22.11377938,8.135353795,2.728907153,0.38525748
86000US90304,90304,15308,5.598379932,23.78494905,5.180297883,1.090932846,0.058792788
86000US90305,90305,11187,1.331903102,18.16394029,18.85223921,10.37811746,1.063734692
86000US90402,90402,8990,0.278086763,7.541713014,35.67296997,15.93993326,4.404894327
86000US90403,90403,19977,0.245282074,7.083145617,40.47154227,18.58136857,5.736597087
86000US90404,90404,16392,1.189604685,14.65959004,34.00439239,11.72523182,3.141776476
86000US90405,90405,22158,0.41971297,7.803050817,36.50600235,16.04386677,4.765773084
86000US90501,90501,28372,1.769350063,19.58973636,22.16974482,6.654448047,0.694346539
86000US90502,90502,12938,2.697480291,22.73148864,27.19894883,6.245169269,0.456021023
86000US90504,90504,23169,1.381155855,21.61508913,23.72135181,8.166083992,1.100608572
86000US90710,90710,17939,1.962205251,23.75271754,16.95746697,4.84976866,0.869613691
86000US90717,90717,15664,1.54494382,25.97037794,19.2479571,6.237231869,0.995914198
86000US90731,90731,40924,2.377577949,23.97126381,15.43348646,3.824161861,0.75750171
86000US90732,90732,15799,1.449458827,17.82391291,24.09013229,8.563833154,1.73428698
86000US90744,90744,32382,4.90395899,29.10876413,5.645111482,0.994379594,0.213081341
